kPa	x1	y1
9.079	0.04780	0.25590
11.412	0.09250	0.45620
11.506	0.09250	0.46280
13.012	0.13350	0.62140
13.786	0.15230	0.61640
14.639	0.18090	0.64860
15.785	0.20320	0.67340
15.879	0.20270	0.67960
16.319	0.22280	0.69540
17.599	0.25570	0.72630
18.425	0.28660	0.73830
19.025	0.30650	0.76120
20.705	0.37160	0.80530
21.532	0.41720	0.80480
22.318	0.43620	0.82380
23.385	0.50330	0.84570
25.091	0.59330	0.86190
26.998	0.69170	0.88350
27.518	0.69490	0.89740
29.744	0.80020	0.95360
32.571	0.92700	0.97610
